id,audio_path,image_folder,person_image_folder,heading,posted,last_image_index,caption
1,audio/thoughts/audio (1).mp3,images/mindscribble,images/person/kafka,The Monster in the Cubicle,True,0,Kafka’s Trap: The Horror of Being Useful
2,audio/thoughts/audio (2).mp3,images/mindscribble,images/person/dosto,The Cage of Pure Logic,True,11,Dostoevsky’s Warning: The Curse of Living in Your Head
3,audio/thoughts/audio (3).mp3,images/mindscribble,images/person/dosto,Guilt Without a Crime,True,13,The Modern Trial: Apologizing to a Court That Doesn't Exist
4,audio/thoughts/audio (4).mp3,images/mindscribble,images/person/dosto,The Threat of an Easy Life,true,12,Dostoevsky’s Secret: Why Comfort Will Destroy Your Soul
5,audio/thoughts/audio (5).mp3,images/mindscribble,images/person/kafka,Running Toward a Moving Horizon,False,0,Kafka’s Castle: The Illusion of Reaching the Top
6,audio/thoughts/audio (6).mp3,images/mindscribble,images/person/dosto,The Heavy Burden of Choice,False,0,Dostoevsky’s Grand Inquisitor: Why Freedom Scares Us
7,audio/thoughts/audio (7).mp3,images/mindscribble,images/person/nietzsche,The Danger of Unchecked Darkness,False,0,Nietzsche’s Abyss: What Happens When You Stare Too Long
8,audio/thoughts/audio (8).mp3,images/mindscribble,images/person/camus,Punished for Being Honest,False,0,Camus’ Stranger: The Danger of Refusing to Fake It
9,audio/thoughts/audio (9).mp3,images/mindscribble,images/person/orwell,The Art of Living a Lie,False,0,Orwell’s Doublethink: How You Lie to Yourself Every Day
10,audio/thoughts/audio (10).mp3,images/mindscribble,images/person/kafka,"Built to Hide, Built to Trap",False,0,Kafka’s Burrow: The Prison of Perfectionism
11,audio/thoughts/audio (11).mp3,images/mindscribble,images/person/kafka,The Art of Starving Yourself,False,0,Kafka’s Hunger Artist: Dying for an Impossible Standard
12,audio/thoughts/audio (12).mp3,images/mindscribble,images/person/dosto,When Logic Outsmarts Your Soul,False,0,Dostoevsky’s Raskolnikov: The Madness of Self-Justification
13,audio/thoughts/audio (13).mp3,images/mindscribble,images/person/dosto,The Threat of Genuine Kindness,False,0,Dostoevsky’s Idiot: Why Pure Goodness Feels Like Madness
14,audio/thoughts/audio (14).mp3,images/mindscribble,images/person/nietzsche,The Trap of Endless Entertainment,False,0,Nietzsche’s Last Man: The Horror of Being Comfortable
15,audio/thoughts/audio (15).mp3,images/mindscribble,images/person/nietzsche,Welcoming the Wreckage,False,0,Nietzsche’s Amor Fati: The Art of Loving Your Fate
16,audio/thoughts/audio (16).mp3,images/mindscribble,images/person/camus,The Judge-Penitent in the Mirror,False,0,Camus’ Fall: The Hypocrisy of Judging Others
17,audio/thoughts/audio (17).mp3,images/mindscribble,images/person/camus,The Line You Must Draw,False,0,"Camus’ Rebel: Why Saying ""No"" Defines You"
18,audio/thoughts/audio (18).mp3,images/mindscribble,images/person/orwell,Rewriting the Story of You,False,0,Orwell’s Memory Hole: The Erasure of Your Own History
19,audio/thoughts/audio (19).mp3,images/mindscribble,images/person/orwell,Becoming What You Fought,False,0,Orwell’s Animal Farm: How Ideals Turn into Tyranny
20,audio/thoughts/audio (20).mp3,images/mindscribble,images/person/kafka,The Machine You Cannot Stop,False,0,Kafka’s In the Penal Colony: Executed by Your Own Rules
21,audio/thoughts/audio (21).mp3,images/mindscribble,images/person/dosto,In Love with an Illusion,False,0,Dostoevsky’s White Nights: The Phantom of Romantic Solitude
22,audio/thoughts/audio (22).mp3,images/mindscribble,images/person/nietzsche,Conquering Yourself First,False,0,Nietzsche’s Will to Power: The Misunderstood Spark Within
